subject_group_code,subject_1,subject_2,subject_3
N01,Ngữ văn,xướng âm,biểu diễn nghệ thuật
N02,Ngữ văn,Ký xướng âm,Hát hoặc biểu diễn nhạc cụ
N05,Ngữ Văn,Xây dựng kịch bản sự kiện,Năng khiếu
S00,Ngữ văn,Năng khiếu SKĐA 1,Năng khiếu SKĐA 2
T00,Toán,Sinh học,Năng khiếu TDTT
T01,Toán,Ngữ văn,Năng khiếu TDTT
T02,Ngữ văn,Sinh,Năng khiếu TDTT
T03,Ngữ văn,Địa,Năng khiếu TDTT
T04,Toán,Lý,Năng khiếu TDTT
T05,Ngữ văn,GDKTPL,Năng khiếu thể dục thể thao
V00,Toán,Vật lí,Vẽ Hình họa mỹ thuật
V01,Toán,Ngữ văn,Vẽ Hình họa mỹ thuật
V02,Vẽ mỹ thuật,Toán,Tiếng Anh
V03,Vẽ mỹ thuật,Toán,Hóa
V05,Văn,Vật lí,Vẽ mỹ thuật
V06,Toán,Địa lí,Vẽ mỹ thuật
V10,Toán,tiếng Pháp,Vẽ mỹ thuật
V11,Toán,Tiếng Trung,Vẽ mỹ thuật
C17,Ngữ văn,Hóa học,GDKTPL
K00,Toán,Đọc hiểu,Tư duy Khoa học Giải quyết vấn đề
"(Toán, Sinh, Công nghệ)",Toán,Sinh,Công nghệ
X14,Toán,Sinh,Tin
TH9,Văn,Anh,Tin
K01,Toán,Văn,Lý/Hóa/Sinh/Tin
Q00,Tư duy định lượng,Tư duy định tính,Khoa học/ Tiếng Anh
HSA - Khoa học,Tư duy định lượng,Tư duy định tính,Khoa học
"(Toán, Tin, GDKTPL)",Toán,Tin,GDKTPL
